article_id,title,category,topics,regions_v2,v1_asset,v2_asset,rule_asset,route_source,expected_asset,expected_region,expected_reason,verdict
invest:38852,"[다음주 시장은?] 실적시즌, 미중 정상회담 종료. 다..",invest,테크_AI_반도체|지정학,KR,해외주식,국내주식,국내주식,llm,국내주식,KR,다음주 KR 시장전망=국내주식. v1 해외 오분류 정정,agree
invest:38880,Tech&Stock Weekly: 800V DC에 집중될 전력 모멘텀,invest,테크_AI_반도체,US,해외주식,해외주식,해외주식,llm,해외주식,US,US 테크(전력/DC)=해외주식,agree
invest:38911,[IBKS Daily] Start with IBKS(2026.05.20) 美 국채 ..,invest,금리_채권|테크_AI_반도체|경기_소비,KR|NON_US_OVERSEAS,해외채권,국내주식,국내채권,llm,해외채권/국내주식,KR/NON_US,제목 美국채 언급이나 daily 혼재. v2 국내주식 — 美국채면 해외채권 가능,ambiguous
invest:38939,계량 주보:국민성장펀드 판매 시작: 코스닥 기업 숨통..,invest,경기_소비,KR,국내주식,국내주식,국내주식,llm,국내주식,KR,코스닥/국민성장펀드=국내주식,agree
invest:38967,[The Market Visualized] 지정학에 쏠린 눈과 불편한 ..,invest,테크_AI_반도체|테크_AI_반도체,KR|US,국내주식,국내주식,국내주식,llm,국내주식,KR/US,"Market Visualized 지정학, KR중심. v2 국내주식 lean",agree
invest:38995,"05/28, 미 증시, 반도체 차익실현, 미-이란 협상 혼선..",invest,테크_AI_반도체|지정학,US|GLOBAL,국내주식,해외주식,해외주식,llm,해외주식,US/GLOBAL,미 증시 반도체=해외주식. v1 국내 오분류 정정,agree
industry:44402,클라우드 매출 가속으로 이어진 AI 캐팩스,industry,테크_AI_반도체,US,국내주식,해외주식,해외주식,llm,해외주식,US,클라우드 AI capex=US 빅테크 → 해외주식. v1 국내 정정,agree
industry:44431,통신 Weekly - 금번 실적 발표에서는 AI에 주..,industry,,KR,,국내주식,,llm,국내주식,KR,통신 Weekly KR=국내주식,agree
industry:44460,현대차/기아 4월 글로벌 판매,industry,경기_소비|지정학,KR|GLOBAL,해외주식,국내주식,국내주식,llm,국내주식,KR,현대차/기아=국내주식. v1 해외 오분류 → recovery,agree
industry:44489,CPU에서도 AI 수혜 확인. 메모리도 추가 수혜,industry,테크_AI_반도체|테크_AI_반도체,US|KR,국내주식,해외주식,해외주식,llm,국내주식/해외주식,US/KR,"CPU(US)+메모리(KR) 혼재. v2 해외주식, 메모리수혜면 국내주식",ambiguous
industry:44519,코닝 Investor Day 자료로 CPO 훑어보기,industry,테크_AI_반도체,US,해외주식,해외주식,해외주식,llm,해외주식,US,코닝=US 해외주식,agree
industry:44548,Paradigm Shift,industry,테크_AI_반도체,KR,국내주식,국내주식,국내주식,llm,국내주식,KR,KR 테크 Paradigm Shift=국내주식,agree
industry:44577,2026년 하반기 은행산업 전망 : 기대 요인은 ..,industry,금리_채권,KR,해외채권,국내주식,국내채권,llm,국내주식,KR,KR 은행산업 전망=은행주(국내주식). v1 해외채권 오분류 정정(금리 topic이나 산업=주식),agree
industry:44606,스프링 점프,industry,금리_채권,KR,해외채권,국내주식,국내채권,llm,국내채권/국내주식,KR,제목 모호 '스프링 점프' topic 금리_채권. v2 국내주식 — 금리리포트면 국내채권,ambiguous
industry:44634,안정을 찾는다면 통신으로,industry,경기_소비,KR,국내주식,국내주식,국내주식,llm,국내주식,KR,KR 통신주=국내주식,agree
industry:44662,신한 운송 Weekly T.M.I; 탱커선사 1Q26 실적..,industry,에너지_원자재|에너지_원자재,KR|GLOBAL,해외채권,국내주식,원자재에너지,llm,국내주식,KR/GLOBAL,운송/탱커선사=KR 해운주. v1 해외채권·rule 원자재 오분류 → v2 국내주식 recovery,agree
industry:44691,SCV-제9회 전국동시지방선거 공약으로 보는 ..,industry,부동산,KR,,국내주식,국내주식,llm,국내주식,KR,지방선거 공약/부동산=KR 정책수혜주. v2 국내주식,agree
industry:44720,MASH를 오래 지켜보아야 하는 이유,industry,,,,,,none,국내주식,KR,"MASH=간질환 신약, KR 바이오 추정. topic/region 미태깅 → v2 none(under-classified)",ambiguous
industry:44748,‘영업환경 변화’/ ‘중국’/ ‘배당’,industry,경기_소비,KR,국내주식,국내주식,국내주식,llm,국내주식,KR,중국/배당 KR 산업=국내주식,agree
debenture:10728,[5월] 유가와 함께 금리 상승도 일단락,debenture,에너지_원자재|금리_채권,KR|GLOBAL,해외채권,국내채권,원자재에너지,llm,국내채권,KR/GLOBAL,"채권리서치, 금리상승 일단락=국내채권. rule 원자재 오분류 → v2 국내채권 정정",agree
debenture:10765,Eugenes FICC Update,debenture,금리_채권|금리_채권,KR|GLOBAL,해외채권,국내채권,국내채권,llm,국내채권/해외채권,KR/GLOBAL,FICC Update=채권. KR/GLOBAL 혼재로 국내/해외 애매. v2 국내채권 lean,agree
